,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,ID,item,preço,quantidade,medida,Unidades,Quilos,Gramas,Litros,MLs
,41,Espetos Bovinos,44,10,Unidades,4.4,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""Gramas"", 1000, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""Gramas"", 1, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,112,Espetos De Coração,18,4,Unidades,4.5,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""Gramas"", 1000, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""Gramas"", 1, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,117,Espetos de Cupim,55,1000,Gramas,55,55,0.055,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,114,Espetos de Queijo,27.5,5,Unidades,5.5,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""Gramas"", 1000, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""Gramas"", 1, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,108,Espetos Formadora,46,10,Unidades,4.6,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""Gramas"", 1000, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""Gramas"", 1, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,109,Espetos Frango,22.8,6,Unidades,3.8000000000000003,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""Gramas"", 1000, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""Gramas"", 1, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,113,Espetos Kafta,22.5,5,Unidades,4.5,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""Gramas"", 1000, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""Gramas"", 1, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,110,Espetos Linguiça,19,5,Unidades,3.8,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""Gramas"", 1000, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""Gramas"", 1, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,115,Espetos Medalhão de Carne/Frango,32.5,4,Unidades,8.125,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""Gramas"", 1000, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""Gramas"", 1, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
,116,Espetos Medalhão de Queijo/Romeu e Julieta,48,4,Unidades,12,"=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""Gramas"", 1000, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""Gramas"", 1, IF(insumos[[#This Row],[medida]] = ""Quilos"", 1000, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] / IF(insumos[[#This Row],[medida]] = ""ML"", 1000, IF(insumos[[#This Row],[medida]] = ""Litros"", 1, 0))), """")","=IFERROR(insumos[[#This Row],[preço]] / (insumos[quantidade] * IF(insumos[[#This Row],[medida]] = ""ML"", 1, IF(insumos[[#This Row],[medida]] = ""Litros"", 1000, 0))), """")"
